BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
MTL1N;LP;LPMT;RW08;MTL;MOJ03;{{N38431701,W008581705},{N38593959,W009022540},{N39542789,W008530075}}
MTL1S;LP;LPMT;RW26;MTL;MOJ;{{N38423150,W009015960},{N38593959,W009022540},{N39542789,W008530075}}
TROI1E;LP;LPMT;RW08;TROIA;MOJ04;{{N38433521,W008570391},{N38304344,W008590814},{N38235036,W008572855},{N38042371,W008524495}}
TROI1W;LP;LPMT;RW26;TROIA;MOJ12;{{N38304344,W008590814},{N38235036,W008572855},{N38042371,W008524495}}
FTM1N;LP;LPOV;RW36;FTM;RW36;{{N40441295,W008384105},{N40301241,W008384875},{N39395645,W008293354}}
FTM1S;LP;LPOV;RW18;FTM;RW18;{{N40531327,W008383607},{N40441295,W008384105},{N40301241,W008384875},{N39395645,W008293354}}
PG1N;LP;LPOV;RW36;PG;RW36;{{N41044112,W008381155}}
PG1S;LP;LPOV;RW18;PG;RW18;{{N40531327,W008383607},{N40531327,W008383607},{N41044112,W008381155}}
VIS1N;LP;LPOV;RW36;PESUL;RW36;{{N41021252,W008392105},{N40525532,W008065437}}
VIS1S;LP;LPOV;RW18;PESUL;RW18;{{N40531327,W008383607},{N40531327,W008383607},{N41021252,W008392105},{N40525532,W008065437}}
BAVA1R;LP;LPPD;RW30;BAVAS;RW30;{{N37440606,W025403018},{N37504556,W025452933},{N39000000,W023404207}}
BAVA1U;LP;LPPD;RW30;BAVAS;RW30;{{N37440606,W025403018},{N37394331,W025433332},{N37442946,W025350250},{N37563682,W025352665},{N39000000,W023404207}}
BAVA3V;LP;LPPD;RW12;BAVAS;RW12;{{N37440606,W025403018},{N37442946,W025350250},{N37563682,W025352665},{N39000000,W023404207}}
BEKU1R;LP;LPPD;RW30;BEKUN;RW30;{{N37440606,W025403018},{N37504556,W025452933},{N37565377,W023140464}}
BEKU1U;LP;LPPD;RW30;BEKUN;RW30;{{N37440606,W025403018},{N37394331,W025433332},{N37442946,W025350250},{N37513494,W025320216},{N37565377,W023140464}}
BEKU1X;LP;LPPD;RW30;BEKUN;RW30;{{N37440606,W025403018},{N37370142,W025415855},{N37371608,W025185894},{N37565377,W023140464}}
BEKU3V;LP;LPPD;RW12;BEKUN;RW12;{{N37440606,W025403018},{N37442946,W025350250},{N37513494,W025320216},{N37565377,W023140464}}
BEKU3Y;LP;LPPD;RW12;BEKUN;RW12;{{N37440606,W025403018},{N37371608,W025185894},{N37565377,W023140464}}
LM1R;LP;LPPD;RW30;LM;RW30;{{N37462689,W025563759},{N38072675,W026090505},{N38470216,W027061576}}
LM3V;LP;LPPD;RW12;LM;RW12;{{N37440606,W025403018},{N37504556,W025452933},{N38072675,W026090505},{N38470216,W027061576}}
LM3Y;LP;LPPD;RW12;LM;PD;{{N37440606,W025403018},{N37385263,W025474333},{N37462054,W025593424},{N37551461,W026033429},{N37573146,W026043596},{N38072675,W026090505},{N38470216,W027061576}}
SOLG1R;LP;LPPD;RW30;SOLGI;RW30;{{N37462689,W025563759},{N37573146,W026043596},{N38372964,W028015762}}
SOLG3V;LP;LPPD;RW12;SOLGI;RW12;{{N37440606,W025403018},{N37504556,W025452933},{N37573146,W026043596},{N38372964,W028015762}}
SOLG3Y;LP;LPPD;RW12;SOLGI;PD;{{N37440606,W025403018},{N37385263,W025474333},{N37462054,W025593424},{N37551461,W026033429},{N37573146,W026043596},{N38372964,W028015762}}
VFL1R;LP;LPPD;RW30;VFL;RW30;{{N37462689,W025563759},{N37551461,W026033429},{N38310990,W028372482}}
VFL3V;LP;LPPD;RW12;VFL;RW12;{{N37440606,W025403018},{N37504556,W025452933},{N37551461,W026033429},{N38310990,W028372482}}
VFL3Y;LP;LPPD;RW12;VFL;PD;{{N37440606,W025403018},{N37385263,W025474333},{N37462054,W025593424},{N37551461,W026033429},{N38310990,W028372482}}
VSM1R;LP;LPPD;RW30;VSM;RW30;{{N37440606,W025403018},{N36574646,W025095901}}
VSM3V;LP;LPPD;RW12;VSM;PD;{{N37440606,W025403018},{N36574646,W025095901}}
ERLE1N;LP;LPPR;RW35;MTL;RW35;{{N41205334,W008422934},{N40413411,W008461910},{N39542789,W008530075}}
